KeyName,Name,CooldownSeconds
AtlasOF_AmelioratingMelodies,"Ameliorating Melodies",1800
AtlasOF_ArmorOfFaith,"Armor of Faith",900
AtlasOF_AvoidPain,"Avoid Pain",900
AtlasOF_BatteryOfLife,"Battery Of Life",1800
AtlasOF_BattleYell,"Battle Yell",900
AtlasOF_Bladedance,"Bladedance",900
AtlasOF_BrilliantAura,"Brilliant Aura Of Deflection",1800
AtlasOF_BunkerOfFaith,"Bunker of Faith",1800
AtlasOF_CorporealDisintegration,"Corporeal Distintegration",900
AtlasOF_DefenderOfTheVale,"Defender of the Vale",900
AtlasOF_ExcitedFrenzy,"Excited Frenzy",600
AtlasOF_Grapple,"Grapple",1800
AtlasOF_HailOfBlowsAbility,"Hail of Blows",900
AtlasOF_Ichor,"Ichor Of The Deep",900
AtlasOF_IgnorePain,"Ignore Pain",1800
AtlasOF_MajesticWill,"Majestic Will",1800
AtlasOF_MasteryOfConcentration,"Mastery of Concentration",1800
AtlasOF_NegativeMaelstrom,"Negative Maelstrom",1800
AtlasOF_PerfectRecovery,"Perfect Recovery",1800
AtlasOF_PurgeAbility,"Purge",1800
AtlasOF_RagingPower,"Raging Power",1800
AtlasOF_RainOfBase,"Rain of Base",900
AtlasOF_ReflexAttackAbility,"Reflex Attack",1800
AtlasOF_ResilienceOfDeath,"Resilience of Death",1800
AtlasOF_RuneOfDecimation,"Rune of Decimation",900
AtlasOF_ShadowRun,"Shadow Run",1800
AtlasOF_SiegeBolt,"Siege Bolt",300
AtlasOF_SoldiersBarricade,"Soldier's Barricade",1800
AtlasOF_SpeedOfSound,"Speed of Sound",1800
AtlasOF_StaticTempest,"Static Tempest",1800
AtlasOF_StrikingTheSoul,"Striking the Soul",1800
AtlasOF_TheEmptyMindAbility,"The Empty Mind",1800
AtlasOF_ThornweedField,"Thornweed Field",1800
AtlasOF_Trip,"Trip",900
AtlasOF_TrueSight,"True Sight",1800
AtlasOF_UnquenchableThirst,"Unquenchable Thirst of Souls",900
AtlasOF_Vanish,"Vanish",1800
AtlasOF_Viper,"Viper",1800
AtlasOF_VolcanicPillar,"Volcanic Pillar",900
AtlasOF_WhipOfEncouragement,"Whip of Encouragement",600
AtlasOF_WhirlingDervish,"Whirling Dervish",900
AtlasOF_WrathOfTheChampion,"Wrath of the Champion",900
