SpellID,Name,Type,CastTime,Duration,RecastDelay,Damage,DamageType,Icon,ClientEffect
1,"Amethyst Shield",BaseArmorFactorBuff,3.0,1200,0,0.0,0,1,1
2,"Amethyst Shield (Enhanced)",BaseArmorFactorBuff,3.0,1200,0,0.0,0,2,2
3,"Ruby Shield",BaseArmorFactorBuff,3.0,1200,0,0.0,0,3,3
4,"Ruby Shield (Enhanced)",BaseArmorFactorBuff,3.0,1200,0,0.0,0,4,4
5,"Cobalt Shield",BaseArmorFactorBuff,3.0,1200,0,0.0,0,5,5
6,"Cobalt Shield (Enhanced)",BaseArmorFactorBuff,3.0,1200,0,0.0,0,6,6
7,"Emerald Shield",BaseArmorFactorBuff,3.0,1200,0,0.0,0,7,7
8,"Emerald Shield (Enhanced)",BaseArmorFactorBuff,3.0,1200,0,0.0,0,8,8
9,"Diamond Shield",BaseArmorFactorBuff,3.0,1200,0,0.0,0,9,9
10,"Diamond Shield (Enhanced)",BaseArmorFactorBuff,3.0,1200,0,0.0,0,10,10
11,"Minor Earthen Power",DamageAdd,3.0,1200,0,1.6,14,11,11
12,"Earthen Power",DamageAdd,3.0,1200,0,2.5,14,12,12
13,"Greater Earthen Power",DamageAdd,3.0,1200,0,3.1,14,13,13
14,"Minor Earthen Burst",DamageAdd,3.0,1200,0,3.9,14,14,14
15,"Earthen Burst",DamageAdd,3.0,1200,0,5.0,14,15,15
16,"Great Earthen Burst",DamageAdd,3.0,1200,0,6.3,14,16,16
17,"Earthen Fury",DamageAdd,3.0,1200,0,7.9,14,17,17
18,"Greater Earthen Fury",DamageAdd,3.0,1200,0,10.0,14,18,18
19,"Greater Earthen Rage",DamageAdd,3.0,1200,0,10.0,14,24,24
20,"Earthen Rage",DamageAdd,3.0,1200,0,7.9,14,23,23
21,"Buffer of Earth",ArmorAbsorptionBuff,3.0,1200,0,0.0,0,21,21
22,"Buffer of Stone",ArmorAbsorptionBuff,3.0,1200,0,0.0,0,22,22
51,"Minor Shield of Magma",DamageShield,4.0,1200,0,0.7,14,51,51
52,"Shield of Magma",DamageShield,4.0,1200,0,1.1,14,52,52
53,"Greater Shield of Magma",DamageShield,4.0,1200,0,1.4,14,53,53
54,"Minor Shell of Magma",DamageShield,4.0,1200,0,1.9,14,54,54
55,"Shell of Magma",DamageShield,4.0,1200,0,2.6,14,55,55
56,"Greater Shell of Magma",DamageShield,4.0,1200,0,3.6,14,56,56
57,"Exalted Magma Shield",DamageShield,4.0,1200,0,4.6,14,57,57
61,"Bolt of Lava",Bolt,2.5,0,20,15.0,14,61,61
62,"Bolt of Lava (Enhanced)",Bolt,2.5,0,20,29.0,14,62,62
63,"Lava Strike",Bolt,2.5,0,20,52.0,14,63,63
64,"Lava Strike (Enhanced)",Bolt,2.5,0,20,81.0,14,64,64
65,"Lava Force",Bolt,2.5,0,20,118.0,14,65,65
66,"Lava Force (Enhanced)",Bolt,2.5,0,20,162.0,14,66,66
67,"Lava Streak",Bolt,2.5,0,20,206.0,14,67,67
68,"Lava Streak (Enhanced)",Bolt,2.5,0,20,258.0,14,68,68
69,"Lava's Fury",Bolt,2.5,0,20,309.0,14,69,69
71,"Molten Earth",DamageSpeedDecrease,3.0,30,0,25.0,14,71,71
72,"Lava Field",DamageSpeedDecrease,3.0,30,0,31.0,14,72,72
73,"Expanse of Magma",DamageSpeedDecrease,3.0,30,0,44.0,14,73,73
